FILENAME	SEQ	COMPOUND_NAME	COMPOUND_NAME_ORIGINAL	MOLECULEMASS	INSTRUMENT	IONSOURCE	EXTRACTSCAN	SMILES	SELFIES	INCHI	INCHIAUX	CHARGE	IONMODE	FRAGMENTATION_METHOD	COLLISION_ENERGY	ACQUISITION	EXACTMASS	DATACOLLECTOR	DATACURATOR	ADDUCT	LIBQUALITY	PI	SPECIES	CASNUMBER	PUBMED	STRAIN	INTEREST	GENUS
20230916_nexus_plate_1_P5_pos_D2_CID_40ev.mzXML	*..*	GIZBOLCXMLLJQQ-UHFFFAOYSA-N_CID_[40.0]	GIZBOLCXMLLJQQ-UHFFFAOYSA-N	356.3970	qTof	DI-ESI	68	COc1ccc(C(=O)NCCc2c(C)[nH]c3ccc(F)cc23)cc1OC	[C][O][C][=C][C][=C][Branch2][Ring1][O][C][=Branch1][C][=O][N][C][C][C][=C][Branch1][C][C][NH1][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][O][Ring1][#Branch1][C][=C][Ring2][Ring1][=Branch1][O][C]	InChI=1S/C20H21FN2O3/c1-12-15(16-11-14(21)5-6-17(16)23-12)8-9-22-20(24)13-4-7-18(25-2)19(10-13)26-3/h4-7,10-11,23H,8-9H2,1-3H3,(H,22,24)	GIZBOLCXMLLJQQ-UHFFFAOYSA-N	1	Positive	CID	[40.0]	Commercial	356.15362	MPovoa	ARutz	[M+H]+	1	NZamboni	N/A	N/A	N/A	N/A	N/A	N/A
20230914_nexus_plate_1_Q4_pos_G11_CID_40ev.mzXML	*..*	KDDXEPFKCPQIAW-UHFFFAOYSA-N_CID_[40.0]	KDDXEPFKCPQIAW-UHFFFAOYSA-N	386.4760	qTof	DI-ESI	191	Cc1cc(Oc2ccc3ccccc3c2)nc(SCC(=O)c2ccccc2)n1	[C][C][=C][C][Branch1][S][O][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][=N][C][Branch1][#C][S][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][Ring2][Ring1][O]	InChI=1S/C23H18N2O2S/c1-16-13-22(27-20-12-11-17-7-5-6-10-19(17)14-20)25-23(24-16)28-15-21(26)18-8-3-2-4-9-18/h2-14H,15H2,1H3	KDDXEPFKCPQIAW-UHFFFAOYSA-N	1	Positive	CID	[40.0]	Commercial	386.1089	MPovoa	ARutz	[M+H]+	1	NZamboni	N/A	N/A	N/A	N/A	N/A	N/A
20230912_nexus_plate_1_Q1_pos_G1_CID_40ev.mzXML	*..*	RSAQARAFWMUYLL-UHFFFAOYSA-N_CID_[40.0]	RSAQARAFWMUYLL-UHFFFAOYSA-N	386.4990	qTof	DI-ESI	86	Cc1ccccc1CN1C2=NCCN2C(=O)C2=C1CCN(Cc1ccccc1)C2	[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][C][=N][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C][=C][Ring1][#Branch2][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=N]	InChI=1S/C24H26N4O/c1-18-7-5-6-10-20(18)16-28-22-11-13-26(15-19-8-3-2-4-9-19)17-21(22)23(29)27-14-12-25-24(27)28/h2-10H,11-17H2,1H3	RSAQARAFWMUYLL-UHFFFAOYSA-N	1	Positive	CID	[40.0]	Commercial	386.21066	MPovoa	ARutz	[M+H]+	1	NZamboni	N/A	N/A	N/A	N/A	N/A	N/A
20230916_nexus_plate_1_P5_pos_G1_CID_40ev.mzXML	*..*	AXMBKMAQAXZRRI-UHFFFAOYSA-N_CID_[40.0]	AXMBKMAQAXZRRI-UHFFFAOYSA-N	380.4480	qTof	DI-ESI	108	O=C(NCc1ccc2c(c1)OCO2)C12CC3CC(C1)CC(n1cncn1)(C3)C2	[O][=C][Branch2][Ring1][C][N][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1][C][C][C][C][C][Branch1][Ring2][C][Ring1][=Branch1][C][C][Branch1][Branch2][N][C][=N][C][=N][Ring1][Branch1][Branch1][Ring2][C][Ring1][N][C][Ring1][#C]	InChI=1S/C21H24N4O3/c26-19(23-9-14-1-2-17-18(4-14)28-13-27-17)20-5-15-3-16(6-20)8-21(7-15,10-20)25-12-22-11-24-25/h1-2,4,11-12,15-16H,3,5-10,13H2,(H,23,26)	AXMBKMAQAXZRRI-UHFFFAOYSA-N	1	Positive	CID	[40.0]	Commercial	380.18484	MPovoa	ARutz	[M+H]+	1	NZamboni	N/A	N/A	N/A	N/A	N/A	N/A
20230916_nexus_plate_1_P5_pos_G1_CID_40ev.mzXML	*..*	FUOILINTOZKZIR-UHFFFAOYSA-N_CID_[40.0]	FUOILINTOZKZIR-UHFFFAOYSA-N	538.6850	qTof	DI-ESI	114	COc1ccc(C(=O)NC2CCC(CC3CCC(NC(=O)c4ccc(OC)c(OC)c4)CC3)CC2)cc1OC	[C][O][C][=C][C][=C][Branch2][Branch1][Ring2][C][=Branch1][C][=O][N][C][C][C][C][Branch2][Ring2][Ring1][C][C][C][C][C][Branch2][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][#Branch2][C][C][Ring2][Ring1][Ring1][C][C][Ring2][Ring1][#Branch2][C][=C][Ring2][Ring2][Ring1][O][C]	InChI=1S/C31H42N2O6/c1-36-26-15-9-22(18-28(26)38-3)30(34)32-24-11-5-20(6-12-24)17-21-7-13-25(14-8-21)33-31(35)23-10-16-27(37-2)29(19-23)39-4/h9-10,15-16,18-21,24-25H,5-8,11-14,17H2,1-4H3,(H,32,34)(H,33,35)	FUOILINTOZKZIR-UHFFFAOYSA-N	1	Positive	CID	[40.0]	Commercial	538.30429	MPovoa	ARutz	[M+H]+	1	NZamboni	N/A	N/A	N/A	N/A	N/A	N/A
20230914_nexus_plate_1_Q4_pos_G10_CID_40ev.mzXML	*..*	BHFLUDRTVIDDOR-UHFFFAOYSA-N_CID_[40.0]	BHFLUDRTVIDDOR-UHFFFAOYSA-N	165.1920	qTof	DI-ESI	117	COC(=O)C(N)c1ccccc1	[C][O][C][=Branch1][C][=O][C][Branch1][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1]	InChI=1S/C9H11NO2/c1-12-9(11)8(10)7-5-3-2-4-6-7/h2-6,8H,10H2,1H3	BHFLUDRTVIDDOR-UHFFFAOYSA-N	1	Positive	CID	[40.0]	Commercial	165.07898	MPovoa	ARutz	[M+H]+	1	NZamboni	N/A	N/A	N/A	N/A	N/A	N/A
20230914_nexus_plate_1_Q4_pos_G10_CID_40ev.mzXML	*..*	NRWQXMJAOUMLEO-UHFFFAOYSA-N_CID_[40.0]	NRWQXMJAOUMLEO-UHFFFAOYSA-N	228.2070	qTof	DI-ESI	114	O=C(c1ccncc1)c1cccc([N+](=O)[O-])c1	[O][=C][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][=Branch2]	InChI=1S/C12H8N2O3/c15-12(9-4-6-13-7-5-9)10-2-1-3-11(8-10)14(16)17/h1-8H	NRWQXMJAOUMLEO-UHFFFAOYSA-N	1	Positive	CID	[40.0]	Commercial	228.05349	MPovoa	ARutz	[M+H]+	1	NZamboni	N/A	N/A	N/A	N/A	N/A	N/A
20230913_nexus_plate_1_Q2_pos_H4_CID_40ev.mzXML	*..*	OZGNYLLQHRPOBR-UHFFFAOYSA-N_CID_[40.0]	OZGNYLLQHRPOBR-UHFFFAOYSA-N	287.4060	qTof	DI-ESI	79	CN(CC=Cc1ccccc1)Cc1cccc2ccccc12	[C][N][Branch1][N][C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1]	InChI=1S/C21H21N/c1-22(16-8-11-18-9-3-2-4-10-18)17-20-14-7-13-19-12-5-6-15-21(19)20/h2-15H,16-17H2,1H3	OZGNYLLQHRPOBR-UHFFFAOYSA-N	1	Positive	CID	[40.0]	Commercial	287.1674	MPovoa	ARutz	[M+H]+	1	NZamboni	N/A	N/A	N/A	N/A	N/A	N/A
20230913_nexus_plate_1_Q2_pos_H4_CID_40ev.mzXML	*..*	XYFPWWZEPKGCCK-UHFFFAOYSA-N_CID_[40.0]	XYFPWWZEPKGCCK-UHFFFAOYSA-N	440.5070	qTof	DI-ESI	106	C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1	[C][=C][C][=Branch1][C][=O][N][C][C][C][C][Branch2][Ring2][Branch2][N][N][=C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][#Branch2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][=N][C][=C][Branch1][C][N][N][=C][N][=C][Ring1][#Branch1][Ring2][Ring1][#Branch1][C][Ring2][Ring1][=N]	InChI=1S/C25H24N6O2/c1-2-21(32)30-14-6-7-18(15-30)31-25-22(24(26)27-16-28-25)23(29-31)17-10-12-20(13-11-17)33-19-8-4-3-5-9-19/h2-5,8-13,16,18H,1,6-7,14-15H2,(H2,26,27,28)	XYFPWWZEPKGCCK-UHFFFAOYSA-N	1	Positive	CID	[40.0]	Commercial	440.19607	MPovoa	ARutz	[M+H]+	1	NZamboni	N/A	N/A	N/A	N/A	N/A	N/A
20230913_nexus_plate_1_Q2_pos_H4_CID_40ev.mzXML	*..*	XYFPWWZEPKGCCK-UHFFFAOYSA-N_CID_[40.0]	XYFPWWZEPKGCCK-UHFFFAOYSA-N	440.5070	qTof	DI-ESI	136	C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1	[C][=C][C][=Branch1][C][=O][N][C][C][C][C][Branch2][Ring2][Branch2][N][N][=C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][#Branch2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][=N][C][=C][Branch1][C][N][N][=C][N][=C][Ring1][#Branch1][Ring2][Ring1][#Branch1][C][Ring2][Ring1][=N]	InChI=1S/C25H24N6O2/c1-2-21(32)30-14-6-7-18(15-30)31-25-22(24(26)27-16-28-25)23(29-31)17-10-12-20(13-11-17)33-19-8-4-3-5-9-19/h2-5,8-13,16,18H,1,6-7,14-15H2,(H2,26,27,28)	XYFPWWZEPKGCCK-UHFFFAOYSA-N	1	Positive	CID	[40.0]	Commercial	440.19607	MPovoa	ARutz	[M+H]+	1	NZamboni	N/A	N/A	N/A	N/A	N/A	N/A
