position	mass	molecular_formula	smiles	selfies	inchi	inchikey	name
_Plate_1_Column_1_	174.115698448	C11H14N2	CNCCc1c[nH]c2ccccc12	[C][N][C][C][C][=C][N][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1]	InChI=1S/C11H14N2/c1-12-7-6-9-8-13-11-5-3-2-4-10(9)11/h2-5,8,12-13H,6-7H2,1H3	NCIKQJBVUNUXLW-UHFFFAOYSA-N	Methyltryptamine
_Plate_1_Column_1_	111.04326178	C4H5N3O	Nc1ccnc(=O)[nH]1	[N][C][=C][C][=N][C][=Branch1][C][=O][N][Ring1][#Branch1]	InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)	OPTASPLRGRRNAP-UHFFFAOYSA-N	Cytosine
_Plate_1_Column_1_	275.136887392	C12H21NO6	C[N+](C)(C)C[C@H](CC(=O)[O-])OC(=O)CCCC(=O)O	[C][N+1][Branch1][C][C][Branch1][C][C][C][C@H1][Branch1][#Branch1][C][C][Branch1][C][O-1][=O][O][C][=Branch1][C][=O][C][C][C][C][Branch1][C][O][=O]	InChI=1S/C12H21NO6/c1-13(2,3)8-9(7-11(16)17)19-12(18)6-4-5-10(14)15/h9H,4-8H2,1-3H3,(H-,14,15,16,17)/t9-/m0/s1	NXJAXUYOQLTISD-VIFPVBQESA-N	Car(DC5:0)
_Plate_1_Column_1_	465.309038096	C26H43NO6	C[C@H](CCC(O)=NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	[C][C@H1][Branch1][=C][C][C][C][Branch1][C][O][=N][C][C][Branch1][C][O][=O][C@H1][C][C][C@H1][C@@H1][C@H1][Branch1][C][O][C][C@@H1][C][C@H1][Branch1][C][O][C][C][C@][Ring1][#Branch1][Branch1][C][C][C@H1][Ring1][=N][C][C@H1][Branch1][C][O][C@][Ring2][Ring1][Branch1][Ring2][Ring1][C][C]	InChI=1S/C26H43NO6/c1-14(4-7-22(31)27-13-23(32)33)17-5-6-18-24-19(12-21(30)26(17,18)3)25(2)9-8-16(28)10-15(25)11-20(24)29/h14-21,24,28-30H,4-13H2,1-3H3,(H,27,31)(H,32,33)/t14-,15+,16-,17-,18+,19+,20-,21+,24+,25+,26-/m1/s1	RFDAIACWWDREDC-FRVQLJSFSA-N	Glycocholic Acid
_Plate_1_Column_1_	90.031694052	C3H6O3	C[C@H](O)C(=O)O	[C][C@H1][Branch1][C][O][C][Branch1][C][O][=O]	InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/t2-/m0/s1	JVTAAEKCZFNVCJ-REOHCLBHSA-N	L-Lactic Acid
_Plate_1_Column_1_	174.089208928	C8H14O4	O=C(O)CCCCCCC(=O)O	[O][C][=Branch1][C][=O][C][C][C][C][C][C][C][Branch1][C][O][=O]	InChI=1S/C8H14O4/c9-7(10)5-3-1-2-4-6-8(11)12/h1-6H2,(H,9,10)(H,11,12)	TYFQFVWCELRYAO-UHFFFAOYSA-N	Suberic acid
_Plate_1_Column_1_	192.027002596	C6H8O7	O=C(O)CC(C(=O)O)C(O)C(=O)O	[O][C][Branch1][#C][C][Branch1][#Branch1][C][C][Branch1][C][O][=O][C][Branch1][C][O][=O][C][Branch1][C][O][=O]	InChI=1S/C6H8O7/c7-3(8)1-2(5(10)11)4(9)6(12)13/h2,4,9H,1H2,(H,7,8)(H,10,11)(H,12,13)	ODBLHEXUDAPZAU-UHFFFAOYSA-N	Isocitric Acid
_Plate_1_Column_2_	180.042258736	C9H8O4	O=C(O)/C=C\c1ccc(O)c(O)c1	[O][C][=Branch1][C][=O][\C][=C][/C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2]	InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2-	QAIPRVGONGVQAS-RQOWECAXSA-N	QAIPRVGONGVQAS-RQOWECAXSA-N
_Plate_1_Column_2_	247.933090984	C4H12N2Se2	NCC[Se][Se]CCN	[C][Branch1][#Branch1][C][Se][Se][C][C][N][N]	InChI=1S/C4H12N2Se2/c5-1-3-7-8-4-2-6/h1-6H2	QNGIKJLVQNCRRC-UHFFFAOYSA-N	QNGIKJLVQNCRRC-UHFFFAOYSA-N
_Plate_1_Column_2_	107.073499288	C7H9N	NCc1ccccc1	[N][C][C][=C][C][=C][C][=C][Ring1][=Branch1]	InChI=1S/C7H9N/c8-6-7-4-2-1-3-5-7/h1-5H,6,8H2	WGQKYBSKWIADBV-UHFFFAOYSA-N	WGQKYBSKWIADBV-UHFFFAOYSA-N
_Plate_1_Column_2_	580.428031032	C41H56O2	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O	[C][C][Branch1][C][C][=C][C][C][\C][Branch1][C][C][=C][\C][C][\C][Branch1][C][C][=C][\C][C][\C][Branch1][C][C][=C][\C][C][\C][Branch1][C][C][=C][\C][C][\C][Branch1][C][C][=C][\C][C][=C][Branch1][C][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][N][=O]	InChI=1S/C41H56O2/c1-30(2)16-11-17-31(3)18-12-19-32(4)20-13-21-33(5)22-14-23-34(6)24-15-25-35(7)28-29-37-36(8)40(42)38-26-9-10-27-39(38)41(37)43/h9-10,16,18,20,22,24,26-28H,11-15,17,19,21,23,25,29H2,1-8H3/b31-18+,32-20+,33-22+,34-24+,35-28+	PFRQBZFETXBLTP-RCIYGOBDSA-N	PFRQBZFETXBLTP-RCIYGOBDSA-N
_Plate_1_Column_2_	246.005825984	C5H12O7P2	CC(C)=CCO[P@@](=O)(O)OP(=O)(O)O	[C][C][Branch1][C][C][=C][C][O][P@][Branch1][C][O][=Branch1][C][=O][O][P][Branch1][C][O][Branch1][C][O][=O]	InChI=1S/C5H12O7P2/c1-5(2)3-4-11-14(9,10)12-13(6,7)8/h3H,4H2,1-2H3,(H,9,10)(H2,6,7,8)	CBIDRCWHNCKSTO-UHFFFAOYSA-N	CBIDRCWHNCKSTO-UHFFFAOYSA-N
_Plate_1_Column_2_	165.078978592	C9H11NO2	N[C@@H](Cc1ccccc1)C(=O)O	[N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][O][=O]	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1	COLNVLDHVKWLRT-QMMMGPOBSA-N	L-Phenylalanine
_Plate_1_Column_2_	137.084063972	C8H11NO	NCCc1ccc(O)cc1	[N][C][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1]	InChI=1S/C8H11NO/c9-6-5-7-1-3-8(10)4-2-7/h1-4,10H,5-6,9H2	DZGWFCGJZKJUFP-UHFFFAOYSA-N	DZGWFCGJZKJUFP-UHFFFAOYSA-N
