position	smiles	name
_Q2_neg_D1_	COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N	(4-Amino-2-(1-methanesulfonylpiperidin-4-ylamino)pyrimidin-5-yl)(2,3-difluoro-6-methoxyphenyl)methanone
_Q2_neg_C10_	C/C=C1\CN2CCC34c5ccccc5NC3C(CO)[C@H]1CC24	((11R)-12-ethylidene-8,14-diazapentacyclo[9.5.2.0<1,9>.0<2,7>.0<14,17>]octadec a-2,4,6-trien-10-yl)methan-1-ol
_Q3_neg_C1_	Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2	Epicatechin
_Q3_neg_G1_	O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1	Epigallocatechin Gallate
_Q2_neg_D1_	C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C\CC[C@@]1(C)O[C@@H]21	Germacra-1(10),11(13)-dien-12-oic acid, 4,5-alpha-epoxy-6-beta-hydroxy-, gamma-lactone
_Q4_neg_H7_	Cc1ccccc1Cn1cc(NC(=S)N2CCc3ccccc3C2)cn1	N-[1-(2-methylbenzyl)-1H-pyrazol-4-yl]-3,4-dihydroisoquinoline-2(1H)-carbothioamide
_Q1_neg_H1_	Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2	Catechin
_Q1_neg_F4_	NCC(O)c1ccc(O)cc1	Octopamine
_Q3_neg_C8_	Cn1c(C(=O)NCCOc2ccccc2Cl)cc(=O)n(C)c1=O	N-[2-(2-chlorophenoxy)ethyl]-1,3-dimethyl-2,6-dioxo-1,2,3,6-tetrahydropyrimidine-4-carboxamide
_Q1_neg_H10_	C/C=C1\C[N+]2(C)CCC34c5cccc(O)c5NC3C(C=O)[C@H]1CC42	(11R,12Z)-12-ethylidene-6-hydroxy-14-methyl-8-aza-14-azoniapentacyclo[9.5.2.01,9.02,7.014,17]octadeca-2(7),3,5-triene-10-carbaldehyde
_Q1_neg_A11_	C/C=C1\C[N+]2(CC)CCC34C(=C(C=O)[C@H]1CC32)Nc1ccccc14	(11S,12Z)-14-ethyl-12-ethylidene-8-aza-14-azoniapentacyclo[9.5.2.01,9.02,7.014,17]octadeca-2,4,6,9-tetraene-10-carbaldehyde
_Q4_neg_F5_	CO[C@@H]1CC2C3CC=C4CC(O[Si](C)(C)C(C)(C)C)CCC4(C)C3CCC2(C)C1C(C)=O	1-[(16R)-3-[tert-butyl(dimethyl)silyl]oxy-16-methoxy-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl]ethanone
_Q1_neg_D9_	O=C1C2OCC(O2)[C@H]2C(C(=O)C34CC5CC(CC(C5)C3)C4)N3c4ccccc4C=C[C@@H]3[C@@H]12	(14S,16S,1R,2R,13R)-3-(adamantanylcarbonyl)-17,19-dioxa-4-azapentacyclo[14.2.1 .0<2,14>.0<4,13>.0<5,10>]nonadeca-5(10),6,8,11-tetraen-15-one
_Q4_neg_H8_	COc1ccc(C(=O)C2[C@@H]3C4COC(O4)C(=O)[C@@H]3[C@H]3C=Cc4ccccc4N23)cc1OC	NOZZTXUAPWQXFG-WGLXBPHCSA-N
_P5_neg_H2_	CC(=O)O[C@]1(C(=O)CO)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3[C@@H](O)C[C@@]21C	(15S,17S,2R,14R)-17-hydroxy-14-(2-hydroxyacetyl)-2,15-dimethyl-5-oxotetracyclo [8.7.0.0<2,7>.0<11,15>]heptadec-6-en-14-yl acetate
_Q4_neg_C12_	CCCCn1c(=O)c(C(=O)Nc2nccs2)c(O)c2ccccc21	DREFYWNZLFMCLU-UHFFFAOYSA-N
_P5_neg_E6_	CCCCn1c(=O)c(C(=O)Nc2ccccc2)c(O)c2ccccc21	1-butyl-4-hydroxy-2-oxo-N-phenyl-quinoline-3-carboxamide
_P5_neg_F4_	CCOc1ccc(/C=N/OC(=O)/C=C\c2ccccc2)cc1	4-ethoxybenzaldehyde O-cinnamoyloxime
_Q4_neg_A10_	O=C(/C=C/C=C/c1ccccc1)/C=C/C=C/c1ccccc1	Dicinnamalacetone
_Q1_neg_F9_	COc1ccc(/C=C/C(=O)/C=C/c2ccc(OC)cc2OC)c(OC)c1	(1E,4E)-1,5-bis(2,4-dimethoxyphenyl)penta-1,4-dien-3-one
_Q1_neg_C12_	O=C1O[C@@H]2[C@@H](O)[C@H](O)O[C@@H]2[C@H]1O	(2R,3R,3aR,6R,6aR)-2,3,6-trihydroxy-3,3a,6,6a-tetrahydro-2H-furo[3,2-b]furan-5-one
_Q2_neg_D11_	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C	Ethinylestradiol
_Q4_neg_H9_	C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C	Norethisterone Acetate
