position	smiles	name
neg_A2	COc1cc2c(cc1)[nH]cc2CCNC(C)=O	zzz
neg_B2	CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1	zzz
neg_C2	CC(=O)NC(CS)C(=O)O	zzz
neg_D2	CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C	zzz
neg_E2	Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O	zzz
neg_F2	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1	zzz
neg_G2	CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O	zzz
neg_H2	CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO	zzz
neg_A3	CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C	zzz
neg_B3	CC12CCC3c4c(cc(O)cc4)CCC3C1CCC2O	zzz
neg_C3	O=C(O)c1cccnc1	zzz
neg_D3	CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C	zzz
neg_E3	NC(=O)c1cccnc1	zzz
neg_F3	C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[N-]C(C)(C5N=C1C(C)(CCC(=O)NCC(C)OP(=O)([O-])OC1C(CO)OC(n6cnc7cc(C)c(C)cc76)C1O)C5CC(N)=O)C(C)(CC(N)=O)C4CCC(N)=O)C(C)(CC(N)=O)C3CCC(N)=O)C(C)(C)C2CCC(N)=O.N#C[Co+2]	zzz
neg_G3	CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	zzz
neg_H3	CC1=CC(=O)c2ccccc2C1=O	zzz
neg_A4	O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1	zzz
neg_B4	Nc1nc(=O)n(C2OC(CO)C(O)C2O)cc1	zzz
neg_C4	O=CC(O)C(O)C(O)C(O)CO	zzz
neg_D4	O=CC(O)C(O)C(O)CO	zzz
neg_E4	O=C(O)CCCc1c[nH]c2c1cccc2	zzz
neg_F4	CC(CCC(=O)O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C	zzz
neg_G4	O=C(O)c1cc(=O)[nH]c(=O)[nH]1	zzz
neg_H4	CNCC(O)c1ccc(O)cc1	zzz
neg_A5	NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O	zzz
neg_B5	C[N+](C)(C)CC(O)CC(=O)[O-]	zzz
neg_C5	OCC(O)C(O)C(O)C(O)CO	zzz
neg_D5	Nc1nc2c(ncn2C2OC(CO)C(O)C2O)c(=O)[nH]1	zzz
neg_E5	O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O	zzz
neg_F5	CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O	zzz
neg_G5	CNCC(O)c1cc(O)c(O)cc1	zzz
neg_H5	NCCc1cc(O)c(O)cc1	zzz
neg_A6	CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C	zzz
neg_B6	CC(C)NCC(O)c1ccc(O)c(O)c1	zzz
neg_C6	CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C	zzz
neg_D6	CNCC(O)c1cc(O)ccc1	zzz
neg_E6	NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O	zzz
neg_F6	CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O	zzz
neg_G6	OCC(O)C(O)C(O)CO	zzz
neg_H6	Cn1cnc(N)c2ncnc-21	zzz
neg_A7	CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O	zzz
neg_B7	Nc1ccc(C(=O)NCC(=O)O)cc1	zzz
neg_C7	CCCCCC(O)/C=C/C1C(O)CC(=O)C1C/C=C\CCCC(=O)O	zzz
neg_D7	Cc1c(O)c(CO)c(CO)cn1	zzz
neg_E7	O=C1OC(C(O)CO)C(O)=C1O	zzz
neg_F7	O=C(O)CCCCC1SCC2NC(=O)NC21	zzz
neg_G7	O=C(O)c1cccnc1C(=O)O	zzz
neg_H7	NCCc1ccc(O)cc1	zzz
neg_A8	NCCc1c[nH]c2ccccc12	zzz
neg_B8	CC(=O)Oc1c(C)c(C)c2OC(C)(CCCC(C)CCCC(C)CCCC(C)C)CCc2c1C	zzz
neg_C8	CC(C(=O)O)C(=O)O	zzz
neg_D8	NC(N)=O	zzz
neg_E8	O=c1[nH]c(=O)c2c(nc[nH]2)[nH]1	zzz
neg_F8	NC1C(O)OC(CO)C(O)C1O	zzz
neg_G8	CC1CNC(=O)NC1=O	zzz
neg_H8	C=CCCCCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)C=CC4(C)C3CCC12C	zzz
neg_A9	CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	zzz
neg_C9	C[N+](C)(C)CC(=O)[O-]	zzz
neg_D9	O=c1[nH]cnc2c1ncn2C1CC(O)C(CO)O1	zzz
neg_E9	CCCCCCCCCCCCCCCC(=O)O	zzz
neg_F9	O=C(O)c1c(O)ccc(O)c1	zzz
neg_G9	C[n+]1cc(C(=O)O)ccc1	zzz
neg_H9	OCC1OC(O)C(O)C(O)C1O	zzz
neg_A10	NC(=O)NC1NC(=O)NC1=O	zzz
neg_B10	OCC(O)C(O)C(O)C(O)CO	zzz
neg_C10	CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C	zzz
neg_E10	NC(Cc1cc(I)c(O)c(I)c1)C(=O)O	zzz
neg_F10	NCCc1c[nH]cn1	zzz
neg_G10	Cc1ncc(CO)c(CO)c1O	zzz
neg_H10	NC(Cc1c[nH]c2c1cccc2)C(=O)O	zzz
neg_A11	O=C(O)CCCCC1CCSS1	zzz
neg_B11	CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C	zzz
neg_C11	C=C1CCC(O)C/C1=C/C=C1\CCCC2(C)C1CCC2C(C)/C=C/C(C)C(C)C	zzz
neg_D11	C=C1CCC(O)C/C1=C/C=C1\CCCC2(C)C1CCC2C(C)CCCC(C)C	zzz
neg_E11	NCCc1c[nH]cn1	zzz
